#Software: Microsoft Internet Information Services 8.0
#Version: 1.0
#Date: 2016-03-03 18:16:21
#Fields: date time s-sitename s-computername s-ip cs-method cs-uri-stem cs-uri-query s-port cs-username c-ip cs(User-Agent) cs(Referer) cs-host sc-status sc-substatus sc-win32-status sc-bytes cs-bytes time-taken
2016-03-03 18:35:11 W3SVC4221 BROWN 143.95.251.3 GET /api/Products - 80 - 142.232.57.244 Mozilla/5.0+(Windows+NT+10.0;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/48.0.2564.116+Safari/537.36 - restfulservice.funkyprogrammer.com 200 0 0 1247 318 109
2016-03-03 18:36:48 W3SVC4221 BROWN 143.95.251.3 GET /api/Products - 80 - 142.232.57.244 Mozilla/5.0+(Windows+NT+10.0;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/48.0.2564.116+Safari/537.36 - restfulservice.funkyprogrammer.com 200 0 0 1247 318 109
2016-03-03 18:37:22 W3SVC4221 BROWN 143.95.251.3 GET /api/Products - 80 - 142.232.57.244 Mozilla/5.0+(Windows+NT+10.0;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/48.0.2564.116+Safari/537.36 - restfulservice.funkyprogrammer.com 200 0 0 1247 318 109
2016-03-03 18:37:29 W3SVC4221 BROWN 143.95.251.3 GET /api/Products - 80 - 142.232.57.244 Mozilla/5.0+(Windows+NT+10.0;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/48.0.2564.116+Safari/537.36 - restfulservice.funkyprogrammer.com 200 0 0 1247 318 140
2016-03-03 18:38:03 W3SVC4221 BROWN 143.95.251.3 GET /api/Products - 80 - 142.232.57.244 Mozilla/5.0+(Windows+NT+10.0;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/48.0.2564.116+Safari/537.36 - restfulservice.funkyprogrammer.com 200 0 0 1247 318 109
2016-03-03 18:38:07 W3SVC4221 BROWN 143.95.251.3 GET /api/Products - 80 - 142.232.57.244 Mozilla/5.0+(Windows+NT+10.0;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/48.0.2564.116+Safari/537.36 - restfulservice.funkyprogrammer.com 200 0 0 1247 318 109
2016-03-03 18:39:09 W3SVC4221 BROWN 143.95.251.3 GET /api/Products - 80 - 142.232.57.244 Mozilla/5.0+(Windows+NT+10.0;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/48.0.2564.116+Safari/537.36 - restfulservice.funkyprogrammer.com 200 0 0 1247 318 125
2016-03-03 18:39:10 W3SVC4221 BROWN 143.95.251.3 GET /api/Products - 80 - 142.232.57.244 Mozilla/5.0+(Windows+NT+10.0;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/48.0.2564.116+Safari/537.36 - restfulservice.funkyprogrammer.com 200 0 0 1247 318 109
2016-03-03 18:39:22 W3SVC4221 BROWN 143.95.251.3 GET /api/Products - 80 - 142.232.57.244 Mozilla/5.0+(Windows+NT+10.0;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/48.0.2564.116+Safari/537.36 - restfulservice.funkyprogrammer.com 200 0 0 1247 318 124
2016-03-03 18:39:53 W3SVC4221 BROWN 143.95.251.3 GET /api/Products - 80 - 142.232.57.244 Mozilla/5.0+(Windows+NT+10.0;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/48.0.2564.116+Safari/537.36 - restfulservice.funkyprogrammer.com 200 0 0 1247 318 93
2016-03-03 18:39:57 W3SVC4221 BROWN 143.95.251.3 GET /api/Products - 80 - 142.232.57.244 Mozilla/5.0+(Windows+NT+10.0;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/48.0.2564.116+Safari/537.36 - restfulservice.funkyprogrammer.com 200 0 0 1247 318 1031
2016-03-03 18:40:00 W3SVC4221 BROWN 143.95.251.3 GET /api/Products - 80 - 142.232.57.244 Mozilla/5.0+(Windows+NT+10.0;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/48.0.2564.116+Safari/537.36 - restfulservice.funkyprogrammer.com 200 0 0 1247 318 109
2016-03-03 18:40:01 W3SVC4221 BROWN 143.95.251.3 GET /api/Products - 80 - 142.232.57.244 Mozilla/5.0+(Windows+NT+10.0;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/48.0.2564.116+Safari/537.36 - restfulservice.funkyprogrammer.com 200 0 0 1247 318 93
2016-03-03 18:40:46 W3SVC4221 BROWN 143.95.251.3 GET /api/Products - 80 - 142.232.57.244 Mozilla/5.0+(Windows+NT+10.0;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/48.0.2564.116+Safari/537.36 - restfulservice.funkyprogrammer.com 200 0 0 1247 318 109
2016-03-03 18:41:38 W3SVC4221 BROWN 143.95.251.3 GET /api/Products - 80 - 142.232.57.244 Mozilla/5.0+(Windows+NT+10.0;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/48.0.2564.116+Safari/537.36 - restfulservice.funkyprogrammer.com 200 0 0 1247 318 109
2016-03-03 18:44:58 W3SVC4221 BROWN 143.95.251.3 GET /api/Products - 80 - 142.232.57.244 Mozilla/5.0+(Windows+NT+10.0;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/48.0.2564.116+Safari/537.36 http://restfulservice.funkyprogrammer.com/ restfulservice.funkyprogrammer.com 200 0 0 1215 391 109
